userId,result
89,"[2571, 260, 4993, 5952, 541, 1210, 527, 318, 50, 7153]"
90,"[50, 296, 318, 356, 223, 110, 858, 1208, 527, 1197]"
91,"[2959, 47, 593, 1265, 1732, 1196, 4011, 3527, 1682, 2858]"
92,"[1196, 356, 1210, 4226, 1291, 2959, 260, 2571, 6874, 1198]"
93,"[1210, 1198, 780, 589, 2571, 2858, 1270, 1196, 1527, 1291]"
94,"[457, 50, 32, 595, 480, 377, 293, 551, 1, 21]"
95,"[296, 2716, 1291, 8636, 1732, 2959, 1, 593, 1201, 480]"
96,"[32, 356, 2918, 1197, 2762, 1196, 1240, 1198, 2355, 1193]"
97,"[1196, 2571, 364, 2762, 480, 1291, 589, 5349, 5952, 1]"
98,"[4973, 6377, 3578, 527, 1210, 7361, 260, 2959, 2858, 2571]"
99,"[589, 1, 364, 47, 356, 110, 480, 588, 260, 2571]"
100,"[318, 356, 364, 593, 500, 480, 780, 1196, 457, 527]"
101,"[1089, 1732, 1210, 1704, 2571, 858, 47, 356, 4262, 6874]"
102,"[1210, 3147, 1270, 1097, 2858, 1246, 32, 260, 1206, 1732]"
103,"[2858, 4878, 1265, 3147, 47, 32587, 1222, 1884, 2692, 4995]"
104,"[4306, 2571, 4995, 4027, 5445, 296, 318, 2959, 4963, 5418]"
105,"[1196, 1270, 1210, 2858, 45722, 527, 1291, 608, 2918, 2028]"
106,"[356, 4226, 79132, 260, 296, 2959, 1198, 858, 1210, 68157]"
107,"[356, 364, 457, 377, 500, 34, 480, 527, 593, 47]"
108,"[1214, 356, 1196, 1265, 318, 1240, 296, 1197, 589, 1089]"
109,"[32, 1968, 858, 2683, 597, 260, 1222, 4226, 2329, 2858]"
110,"[50, 2959, 318, 2716, 1196, 260, 1213, 593, 1214, 1219]"
111,"[4993, 8874, 5618, 5952, 46578, 51255, 44191, 1968, 7153, 1527]"
112,"[1291, 4226, 8874, 2959, 4993, 6874, 541, 858, 1270, 1527]"
113,"[750, 608, 1089, 1208, 541, 2987, 318, 1219, 924, 296]"
114,"[4993, 7153, 318, 68954, 4886, 356, 33794, 2324, 4306, 296]"
115,"[318, 1210, 356, 1270, 1197, 1259, 1198, 1291, 1097, 1214]"
116,"[2571, 1580, 2, 260, 318, 5459, 1527, 6365, 2762, 58559]"
117,"[318, 589, 1, 593, 253, 111, 208, 1240, 1610, 1721]"
118,"[356, 593, 2571, 260, 318, 527, 1089, 1198, 1208, 2959]"
119,"[858, 2959, 593, 6874, 2858, 4878, 79132, 48780, 3949, 32587]"
120,"[356, 296, 1197, 608, 50, 110, 1198, 1210, 2797, 10]"
121,"[593, 50, 527, 364, 480, 36, 457, 588, 1527, 32]"
122,"[1270, 2571, 541, 3996, 1198, 858, 1196, 3578, 1527, 1291]"
123,"[68954, 72998, 1210, 88125, 58559, 1704, 1721, 2028, 69122, 296]"
124,"[1258, 2959, 1196, 293, 5952, 4993, 858, 1206, 4306, 6874]"
125,"[68157, 3578, 4011, 6377, 1259, 2762, 4262, 1213, 1732, 1196]"
126,"[588, 440, 500, 587, 10, 339, 780, 736, 474, 553]"
127,"[1198, 457, 1136, 2571, 1, 858, 1617, 50, 912, 34]"
128,"[356, 919, 318, 377, 1270, 527, 150, 1097, 500, 1210]"
129,"[356, 8961, 5349, 780, 6377, 2716, 3147, 4886, 4963, 1198]"
130,"[153, 356, 480, 344, 364, 2, 110, 367, 377, 10]"
131,"[1208, 858, 1222, 2959, 4027, 356, 4973, 318, 1079, 6539]"
132,"[608, 4973, 1265, 2692, 1136, 2571, 47, 480, 1961, 2294]"
133,"[364, 1198, 1, 608, 260, 1210, 1196, 1220, 356, 648]"
134,"[318, 34, 50, 480, 32, 165, 293, 457, 527, 597]"
135,"[1089, 480, 2716, 6, 50, 1196, 356, 1136, 1208, 5418]"
136,"[356, 377, 380, 590, 589, 595, 480, 318, 500, 165]"
137,"[912, 924, 2858, 1206, 1089, 50, 1222, 1278, 4226, 1267]"
138,"[2762, 1036, 2571, 1, 32, 3578, 260, 2028, 2918, 1196]"
139,"[7153, 2959, 2571, 60069, 296, 110, 858, 1210, 1291, 1270]"
140,"[4993, 1197, 586, 1196, 8360, 1380, 296, 8368, 524, 10]"
141,"[79132, 1136, 2858, 318, 76251, 1036, 76093, 122882, 2081, 68157]"
142,"[500, 318, 1961, 1270, 50, 587, 2858, 4995, 185, 4022]"
143,"[1, 260, 7153, 2028, 4886, 318, 356, 1210, 527, 4993]"
144,"[919, 595, 3793, 5349, 318, 4993, 260, 364, 1196, 296]"
145,"[150, 356, 457, 349, 597, 10, 364, 474, 589, 527]"
146,"[296, 7153, 2858, 1704, 6874, 5952, 7438, 48394, 356, 4226]"
147,"[1210, 480, 2571, 858, 1198, 1387, 1, 1967, 457, 2987]"
148,"[68954, 58559, 318, 6539, 59315, 4306, 73017, 8368, 77561, 122904]"
149,"[296, 2028, 1089, 592, 50, 2571, 858, 2959, 1222, 2858]"
150,"[1210, 1, 858, 260, 1393, 1198, 1291, 4226, 364, 1196]"
151,"[1, 733, 260, 318, 1210, 364, 588, 16, 47, 356]"
152,"[1258, 356, 4226, 1732, 2858, 3578, 6874, 1089, 293, 1208]"
153,"[318, 593, 50, 6874, 58559, 2997, 5816, 5952, 7438, 4993]"
154,"[7153, 58559, 2571, 48516, 50872, 5952, 88125, 1198, 2028, 6874]"
155,"[32587, 480, 1196, 356, 3994, 4226, 5679, 6539, 34, 2858]"
156,"[593, 924, 318, 1214, 1258, 32, 903, 2959, 2762, 1196]"
157,"[858, 2571, 1196, 260, 296, 50, 4226, 2858, 6874, 8874]"
158,"[260, 858, 1221, 2571, 2716, 50, 1968, 2918, 2762, 296]"
159,"[260, 527, 1210, 8961, 1196, 1101, 4995, 380, 1784, 595]"
160,"[1210, 7438, 527, 1136, 1732, 318, 3108, 1968, 6711, 923]"
161,"[527, 1136, 356, 4886, 5349, 3793, 296, 457, 593, 2959]"
162,"[364, 593, 367, 380, 480, 457, 595, 141, 110, 316]"
163,"[260, 858, 527, 4226, 296, 593, 2571, 1, 47, 50]"
164,"[377, 593, 457, 2028, 858, 380, 1610, 318, 480, 2571]"
165,"[589, 364, 1527, 3793, 2959, 3578, 293, 110, 47, 356]"
166,"[4011, 318, 364, 500, 2959, 6539, 589, 1732, 2706, 2916]"
167,"[2571, 2683, 7153, 588, 6874, 595, 589, 364, 2355, 3996]"
168,"[296, 50, 318, 3996, 1206, 1265, 2959, 1214, 1221, 541]"
169,"[380, 4306, 4226, 593, 1198, 2858, 68954, 1036, 2078, 916]"
170,"[380, 589, 47, 165, 377, 329, 34, 316, 736, 32]"
171,"[593, 318, 1704, 50, 7153, 2918, 2571, 356, 1221, 4226]"
172,"[260, 2959, 296, 50, 1210, 2329, 2858, 4878, 1198, 480]"
173,"[318, 480, 296, 364, 454, 780, 590, 2, 1210, 50]"
174,"[380, 364, 595, 377, 367, 208, 590, 593, 500, 110]"
175,"[588, 595, 551, 364, 593, 296, 594, 1210, 2081, 912]"
176,"[364, 480, 356, 34, 367, 208, 736, 32, 225, 282]"
177,"[2762, 7153, 1246, 72998, 1, 1200, 60069, 79132, 1704, 457]"
178,"[260, 32, 1210, 1198, 4993, 4226, 1259, 1214, 1200, 2324]"
179,"[590, 587, 539, 2, 153, 588, 367, 595, 597, 261]"
180,"[4306, 1210, 296, 5952, 8961, 1, 4896, 7153, 593, 1073]"
181,"[150, 364, 2, 500, 261, 292, 296, 329, 434, 588]"
182,"[2571, 48780, 58559, 55820, 48774, 7153, 1, 6377, 8961, 50872]"
183,"[1036, 2571, 593, 260, 1356, 2762, 1240, 165, 316, 296]"
184,"[89745, 1196, 1198, 7153, 1210, 2571, 2959, 68954, 260, 1089]"
185,"[2571, 2858, 6874, 6377, 8368, 1036, 2959, 1682, 44191, 4306]"
186,"[296, 318, 356, 6377, 778, 1089, 5989, 32, 1682, 1961]"
187,"[318, 858, 296, 541, 1219, 1196, 1230, 3176, 750, 1193]"
188,"[595, 1968, 1270, 1259, 4896, 1198, 912, 1073, 914, 2959]"
189,"[4226, 858, 1, 3578, 260, 1210, 33794, 6377, 588, 51255]"
190,"[1270, 7153, 60069, 356, 5349, 1682, 2011, 5418, 296, 1196]"
191,"[356, 858, 590, 608, 260, 527, 141, 592, 593, 924]"
192,"[457, 590, 364, 34, 587, 10, 356, 165, 500, 253]"
193,"[296, 2571, 4226, 541, 4995, 6874, 1732, 4993, 1258, 1214]"
194,"[1193, 356, 1198, 1, 296, 1136, 7153, 1291, 34, 47]"
195,"[293, 260, 858, 356, 480, 1198, 5952, 1220, 5989, 110]"
196,"[1196, 318, 296, 1210, 356, 2858, 1240, 480, 1265, 527]"
197,"[2959, 1732, 1196, 1208, 589, 1682, 2762, 3147, 593, 1222]"
198,"[1193, 7361, 48516, 500, 58559, 6874, 2078, 4306, 6539, 527]"
199,"[608, 296, 1200, 2028, 858, 1252, 1193, 1225, 1, 1197]"
200,"[68954, 5952, 364, 858, 2959, 44191, 589, 68157, 79132, 2]"
201,"[1210, 2028, 1265, 1200, 1214, 1208, 2918, 2529, 457, 541]"
202,"[904, 4226, 111, 58559, 1732, 480, 150, 1089, 47, 1252]"
203,"[8961, 6377, 2959, 5445, 589, 2028, 1704, 47, 260, 1]"
204,"[1213, 912, 1210, 1196, 1291, 1732, 1198, 6874, 7438, 318]"
205,"[7153, 2571, 260, 5952, 296, 1196, 4993, 1291, 58559, 1198]"
206,"[260, 6, 50, 318, 736, 708, 527, 52, 296, 150]"
207,"[2959, 2571, 593, 1214, 1196, 2858, 1221, 296, 356, 608]"
208,"[260, 2959, 356, 296, 6365, 5445, 32, 4993, 1196, 318]"
209,"[260, 1210, 4226, 858, 1197, 32, 480, 1196, 527, 1036]"
210,"[260, 1198, 296, 2571, 3578, 589, 2011, 68954, 1214, 3147]"
211,"[527, 44191, 7438, 593, 6874, 1732, 2716, 32, 1682, 480]"
212,"[4973, 364, 2692, 7361, 527, 5989, 4878, 4963, 595, 6016]"
213,"[1196, 480, 4226, 1210, 2571, 527, 318, 48516, 8961, 33794]"
214,"[260, 1291, 150, 2571, 2028, 1198, 32, 589, 1196, 3578]"
215,"[1136, 4886, 2028, 3578, 1, 595, 1210, 6377, 1258, 593]"
216,"[593, 1196, 296, 1258, 47, 260, 1291, 924, 1214, 111]"
217,"[364, 440, 588, 1721, 474, 597, 62, 590, 593, 8961]"
218,"[2959, 296, 608, 593, 1089, 2571, 47, 858, 1580, 318]"
219,"[1732, 4963, 2716, 4979, 3578, 58559, 48516, 5952, 1193, 110]"
220,"[356, 1198, 4993, 595, 589, 1240, 1136, 593, 1610, 457]"
221,"[47, 296, 2858, 1213, 1221, 293, 260, 4226, 1196, 4993]"
222,"[2571, 1210, 260, 480, 1196, 2918, 2959, 47, 1291, 1270]"
223,"[1196, 1210, 4963, 356, 1197, 6539, 4306, 2959, 50, 3793]"
224,"[919, 296, 1089, 1307, 2858, 858, 2959, 1136, 1517, 1784]"
225,"[356, 260, 2571, 1, 2918, 1259, 500, 1580, 318, 480]"
226,"[32, 1291, 6711, 1196, 7438, 1265, 858, 58559, 79132, 5989]"
227,"[2959, 4226, 5418, 4973, 1198, 1210, 3578, 3996, 4993, 293]"
228,"[296, 2959, 4226, 2858, 1210, 2028, 527, 1089, 2329, 47]"
229,"[150, 457, 593, 296, 161, 588, 500, 292, 380, 32]"
230,"[47, 1291, 480, 2571, 3578, 4226, 858, 10, 2028, 1036]"
231,"[1210, 32, 2762, 2716, 1089, 2959, 380, 111, 1201, 2028]"
232,"[32, 2858, 593, 1704, 2329, 778, 50, 4011, 1625, 4878]"
233,"[4226, 318, 593, 260, 1270, 904, 480, 2571, 1196, 1197]"
234,"[150, 1270, 780, 356, 2959, 1197, 595, 589, 924, 296]"
235,"[733, 316, 165, 608, 1, 480, 6, 509, 1246, 339]"
236,"[1198, 1240, 260, 1196, 2571, 1193, 296, 541, 1923, 1265]"
237,"[541, 260, 296, 4993, 7153, 2762, 593, 1270, 2959, 858]"
238,"[2028, 356, 7153, 2571, 5349, 2628, 377, 260, 4226, 2858]"
239,"[858, 150, 1258, 527, 1196, 5502, 6874, 736, 1302, 5418]"
240,"[457, 587, 597, 593, 339, 161, 47, 648, 1, 11]"
241,"[260, 593, 778, 4226, 48516, 356, 3949, 3578, 4878, 5418]"
242,"[377, 527, 110, 589, 296, 356, 364, 480, 380, 1198]"
243,"[480, 329, 208, 165, 457, 110, 34, 292, 349, 364]"
244,"[260, 858, 1210, 2858, 608, 924, 527, 1136, 480, 1198]"
245,"[1, 356, 260, 1210, 1198, 2571, 50, 480, 2706, 34]"
246,"[58559, 1198, 3578, 7153, 1, 110, 318, 51662, 588, 2683]"
247,"[4034, 1089, 2571, 2542, 3911, 4027, 55820, 6711, 590, 541]"
248,"[4993, 5952, 7153, 318, 3578, 6934, 2959, 72998, 589, 593]"
249,"[51255, 1036, 3897, 5952, 4993, 8961, 1968, 2791, 919, 1136]"
250,"[2858, 296, 356, 260, 1265, 608, 293, 2959, 1196, 1198]"
251,"[50, 260, 2959, 318, 1210, 1222, 2858, 1732, 1036, 1090]"
252,"[296, 356, 593, 2858, 1196, 1961, 4306, 1270, 4886, 46578]"
253,"[2959, 356, 2858, 6874, 7361, 2762, 47, 750, 5618, 2692]"
254,"[608, 47, 50, 1198, 5618, 1036, 2683, 1968, 4027, 364]"
255,"[296, 318, 47, 593, 1036, 6539, 480, 2571, 356, 4306]"
256,"[49272, 356, 6539, 2028, 1, 3578, 1721, 527, 1270, 5418]"
257,"[2858, 364, 296, 588, 4306, 2959, 1136, 2918, 2987, 1198]"
258,"[7153, 1704, 5952, 4993, 356, 5618, 4878, 50, 48516, 8961]"
259,"[593, 296, 2571, 1214, 1527, 2858, 318, 8961, 6377, 2268]"
260,"[32, 260, 858, 1, 4993, 5952, 1196, 480, 1222, 318]"
261,"[260, 1198, 110, 589, 1196, 2716, 1291, 1246, 6874, 1036]"
262,"[356, 150, 364, 500, 344, 589, 253, 590, 527, 185]"
263,"[480, 1221, 858, 1961, 260, 356, 1270, 780, 1214, 2115]"
264,"[1270, 260, 1, 1198, 7153, 1208, 2011, 4306, 1291, 589]"
265,"[1198, 296, 480, 1210, 3114, 1610, 1101, 356, 457, 1387]"
266,"[2959, 7153, 47, 296, 293, 318, 2858, 4993, 6874, 5952]"
267,"[296, 1198, 1270, 2571, 780, 50, 364, 1097, 1291, 1387]"
268,"[1219, 4226, 296, 541, 1199, 1214, 912, 1387, 2997, 111]"
269,"[260, 608, 1198, 1270, 1210, 47, 480, 858, 1291, 296]"
270,"[589, 592, 608, 1265, 150, 296, 377, 587, 1270, 50]"
271,"[2571, 1210, 2028, 1089, 593, 47, 2762, 356, 480, 1196]"
272,"[296, 1617, 356, 2959, 1704, 2762, 3578, 4963, 49272, 1265]"
273,"[527, 110, 50, 318, 356, 2571, 3578, 2355, 457, 2762]"
274,"[589, 6539, 344, 1682, 1097, 2700, 8641, 2997, 48516, 4963]"
275,"[1213, 47, 1196, 2502, 4878, 70, 1036, 3897, 364, 648]"
276,"[480, 2571, 260, 1198, 6539, 165, 7153, 4306, 1073, 49272]"
277,"[1, 648, 1210, 2028, 736, 356, 480, 2571, 1196, 380]"
278,"[1196, 356, 296, 457, 260, 4878, 2858, 608, 1089, 7153]"
279,"[58559, 7153, 69122, 60069, 5952, 858, 6539, 1732, 4306, 4973]"
280,"[527, 2959, 260, 1196, 1136, 2571, 2918, 858, 589, 111]"
281,"[1210, 296, 260, 7153, 1, 1198, 6539, 2571, 47, 1136]"
282,"[7153, 1210, 1291, 1198, 260, 593, 1036, 4993, 364, 3994]"
283,"[2571, 260, 356, 480, 589, 3578, 6539, 364, 4963, 2716]"
284,"[588, 364, 367, 593, 586, 296, 780, 587, 1580, 733]"
285,"[1219, 608, 924, 1221, 260, 923, 1196, 1097, 1258, 1214]"
286,"[2858, 5418, 1196, 318, 2716, 260, 480, 6874, 589, 7153]"
287,"[260, 296, 1210, 7361, 1196, 2858, 1222, 6874, 1198, 2571]"
288,"[527, 858, 2028, 2959, 924, 3471, 50, 903, 2858, 1089]"
289,"[4993, 6874, 50, 4226, 5952, 32, 296, 7153, 1270, 7361]"
290,"[1197, 2858, 1247, 2997, 32, 2797, 904, 1240, 914, 926]"
291,"[112852, 356, 76093, 79132, 115617, 2571, 4886, 91500, 6377, 364]"
292,"[2571, 260, 318, 736, 1527, 1265, 4226, 2, 165, 58559]"
293,"[356, 1210, 5952, 7153, 2571, 260, 2355, 480, 4226, 1136]"
294,"[1200, 589, 1527, 32, 2571, 457, 480, 356, 318, 1210]"
295,"[296, 356, 2858, 593, 58559, 1213, 1732, 2571, 4993, 1196]"
296,"[4993, 2571, 7153, 4226, 1196, 6874, 593, 5952, 7438, 356]"
297,"[356, 50, 2571, 296, 480, 1210, 260, 2959, 1527, 2858]"
298,"[1196, 2716, 1, 8874, 589, 593, 7361, 2028, 4262, 78499]"
299,"[356, 858, 1196, 1721, 2571, 260, 2028, 150, 4306, 1]"
300,"[2858, 2028, 296, 1036, 3578, 589, 50, 1198, 260, 608]"
301,"[593, 1197, 2997, 3147, 260, 1210, 1196, 1732, 2959, 1073]"
302,"[593, 150, 356, 608, 339, 1, 50, 733, 380, 1196]"
303,"[1, 1291, 1198, 356, 2762, 1197, 2028, 380, 592, 110]"
304,"[364, 592, 367, 2529, 1148, 551, 2640, 1374, 608, 1127]"
305,"[110, 4226, 111, 1, 1291, 2028, 1201, 2997, 91529, 3578]"
306,"[7153, 68954, 5952, 58559, 318, 356, 4993, 59315, 6874, 78499]"
307,"[2028, 2762, 4993, 32587, 6365, 1198, 3994, 6539, 8807, 1222]"
308,"[7153, 588, 4995, 1, 595, 6539, 593, 1210, 4896, 1270]"
309,"[2959, 4973, 7438, 6874, 2858, 1270, 1732, 2692, 1210, 1258]"
310,"[1196, 1210, 858, 480, 589, 1208, 1291, 912, 2571, 2959]"
311,"[2858, 1196, 260, 2571, 4226, 1387, 356, 480, 293, 1291]"
312,"[296, 858, 1270, 593, 1291, 2791, 2918, 1288, 1221, 1610]"
313,"[7153, 5952, 5418, 110, 1527, 6539, 8961, 1704, 1961, 6874]"
314,"[318, 457, 161, 588, 339, 539, 454, 474, 608, 586]"
315,"[296, 260, 1580, 1270, 480, 1210, 1197, 2628, 1721, 2115]"
316,"[2571, 260, 47, 2959, 858, 1196, 1221, 1291, 1, 318]"
317,"[32, 1210, 1198, 1196, 1704, 296, 1214, 1270, 2916, 2115]"
318,"[2959, 858, 8961, 1198, 58559, 260, 1221, 50, 1704, 111]"
319,"[7153, 1210, 1198, 858, 593, 2028, 2959, 59315, 68954, 5952]"
320,"[1196, 1210, 7153, 5952, 260, 2716, 58559, 356, 1270, 4993]"
321,"[318, 527, 110, 329, 47, 590, 296, 457, 357, 349]"
322,"[1198, 1270, 1291, 589, 3793, 1200, 2028, 1527, 4886, 7153]"
323,"[593, 592, 588, 586, 4306, 5816, 780, 4896, 6377, 8961]"
324,"[750, 1265, 2858, 541, 296, 2959, 1291, 4226, 4878, 318]"
325,"[1206, 750, 912, 2571, 608, 903, 2076, 1208, 1210, 923]"
326,"[4878, 2762, 1206, 1036, 1089, 1198, 1291, 4022, 6539, 4027]"
327,"[589, 2028, 588, 1, 110, 2959, 364, 1291, 47, 648]"
328,"[32, 260, 541, 4993, 593, 2716, 1206, 589, 1617, 111]"
329,"[296, 1136, 2571, 356, 527, 1220, 904, 1089, 608, 1198]"
330,"[318, 527, 68954, 1704, 46578, 74458, 356, 2692, 4878, 4963]"
331,"[1089, 296, 1196, 1213, 260, 1210, 1198, 1221, 356, 1291]"
332,"[1221, 260, 1198, 457, 2396, 588, 2529, 592, 1641, 858]"
333,"[2959, 858, 2858, 2571, 296, 3793, 1198, 356, 50, 260]"
334,"[588, 4995, 5816, 6539, 8368, 4993, 500, 586, 1197, 2012]"
335,"[1196, 296, 1240, 260, 356, 2959, 1210, 2028, 480, 1036]"
336,"[2858, 1197, 1198, 2918, 260, 608, 912, 1136, 356, 1210]"
337,"[780, 377, 589, 364, 858, 457, 165, 380, 588, 39]"
338,"[47, 356, 2858, 1197, 2571, 1213, 480, 1089, 1198, 4226]"
339,"[356, 1210, 2571, 1196, 1198, 50, 2329, 5952, 6874, 4011]"
340,"[150, 380, 736, 1210, 588, 1, 161, 1196, 32, 260]"
341,"[1136, 2028, 1198, 1732, 2959, 4306, 260, 1197, 588, 68954]"
342,"[1196, 3578, 260, 1210, 356, 2571, 1213, 2918, 2858, 296]"
343,"[47, 593, 4306, 4993, 2028, 293, 2329, 356, 1206, 32]"
344,"[6539, 1291, 480, 1, 1198, 5218, 1580, 4896, 2115, 8368]"
345,"[2571, 2959, 1089, 2028, 356, 4993, 296, 1265, 1270, 318]"
